City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iroquois falls,48.7669,-80.6831,1.04,96,95,5.66,CA,1676396007
1,toora-khem,52.4675,96.11,-18.7,99,97,1.17,RU,1676396007
2,bathsheba,13.2167,-59.5167,28.34,69,40,9.26,BB,1676396008
3,husavik,66.0449,-17.3389,2.64,80,100,3.85,IS,1676396008
4,albany,42.6001,-73.9662,8.69,47,5,2.24,US,1676396008
5,kieta,-6.2167,155.6333,26.91,79,100,2.56,PG,1676396008
6,hithadhoo,-0.6,73.0833,27.38,71,25,3.91,MV,1676396008
7,itoman,26.1247,127.6694,17.01,67,100,8.23,JP,1676396008
8,victoria,22.2855,114.1577,16.29,61,5,7.6,HK,1676395946
9,maragogi,-9.0122,-35.2225,29.05,59,100,4.41,BR,1676396008
10,pisco,-13.7,-76.2167,28.03,65,0,4.12,PE,1676396009
11,olinda,-8.0089,-34.8553,28.85,70,40,5.66,BR,1676396009
12,kaeo,-35.1,173.7833,17.26,87,37,4.02,NZ,1676396009
13,dikson,73.5069,80.5464,-14.56,94,100,7.35,RU,1676396009
14,rawson,-43.3002,-65.1023,20.36,23,1,9.07,AR,1676396009
15,ushuaia,-54.8,-68.3,8.79,65,75,2.57,AR,1676395870
16,biak,-0.9131,122.8766,24.86,81,98,2.24,ID,1676396009
17,logstor,56.9624,9.2583,4.43,83,99,2.45,DK,1676395780
18,lukovetskiy,64.2956,41.9211,-8.27,95,44,2.51,RU,1676396009
19,hermanus,-34.4187,19.2345,22.67,82,87,4.75,ZA,1676395960
20,dobric,44.7019,19.5814,6.0,76,100,2.13,RS,1676396010
21,hervey bay,-25.2986,152.8535,24.12,85,91,3.72,AU,1676396010
22,parvatsar,26.8833,74.7667,19.36,16,2,2.42,IN,1676396010
23,lorengau,-2.0226,147.2712,26.69,79,100,0.84,PG,1676396010
24,qaanaaq,77.484,-69.3632,-31.09,86,99,1.31,GL,1676396010
