City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,-7.91,95,100,2.42,GL,1676578521
1,rikitea,-23.1203,-134.9692,26.55,72,89,5.11,PF,1676578521
2,thompson,55.7435,-97.8558,-20.91,65,75,3.6,CA,1676578521
3,kahului,20.8947,-156.47,25.54,75,40,4.47,US,1676578522
4,ushuaia,-54.8,-68.3,9.81,50,20,6.17,AR,1676578501
5,puerto ayora,-0.7393,-90.3518,28.98,87,67,3.13,EC,1676578522
6,diffa,13.3154,12.6113,19.52,30,0,5.61,NE,1676578503
7,severo-kurilsk,50.6789,156.125,-3.51,65,97,11.7,RU,1676578522
8,punta arenas,-53.15,-70.9167,11.01,53,75,2.57,CL,1676578522
9,fethiye,36.6217,29.1164,4.93,51,0,1.95,TR,1676578332
10,taltal,-25.4,-70.4833,21.7,76,28,1.63,CL,1676578522
11,mataura,-46.1927,168.8643,14.71,88,99,1.03,NZ,1676578522
12,albany,42.6001,-73.9662,10.65,62,100,1.35,US,1676578523
13,mar del plata,-38.0023,-57.5575,12.83,95,100,2.06,AR,1676578447
14,meadow lake,34.8014,-106.5436,1.28,35,8,5.93,US,1676578523
15,kupang,-10.1667,123.5833,25.57,86,100,2.59,ID,1676578523
16,busselton,-33.65,115.3333,15.73,88,2,1.42,AU,1676578523
17,hilo,19.7297,-155.09,22.93,89,100,5.14,US,1676578523
18,haapiti,-17.5667,-149.8667,29.85,71,25,4.12,PF,1676578523
19,hirara,24.8,125.2833,21.18,67,100,5.78,JP,1676578524
20,sur,22.5667,59.5289,23.51,43,8,1.47,OM,1676578524
21,puerto del rosario,28.5004,-13.8627,14.86,67,20,4.12,ES,1676578524
22,araouane,18.9048,-3.5265,24.53,11,100,5.15,ML,1676578524
23,souillac,-20.5167,57.5167,22.21,88,20,2.57,MU,1676578524
24,beloha,-25.1667,45.05,24.85,73,71,1.72,MG,1676578524
25,vuktyl,63.8567,57.3094,-19.28,100,100,2.08,RU,1676578524
26,fortuna,40.5982,-124.1573,13.85,46,0,5.14,US,1676578525
27,dodge city,37.7528,-100.0171,-0.43,73,20,8.75,US,1676578525
28,kamennomostskiy,44.2983,40.1856,-6.25,96,100,1.33,RU,1676578525
29,saint george,37.1041,-113.5841,4.58,31,0,2.06,US,1676578525
30,bahce,37.1972,36.5766,0.99,56,1,2.02,TR,1676578525
31,lanxi,29.2195,119.477,6.05,78,44,1.2,CN,1676578525
32,tadine,-21.55,167.8833,24.03,67,11,5.01,NC,1676578525
